  20670 10
  1.61061367e-02   1.78700280e-03   6.20974831e-03   3.37314806e-03	   1.72886431e-03   9.71163417e-04   2.25741320e-04  -2.49613387e-03	  -6.22793985e-04  -4.15154446e-05
  2.49969598e-03   3.79369988e-03  -1.35015124e-04   5.18209022e-04	   4.59815723e-03  -2.66457174e-03  -8.62434127e-04   1.59339012e-03	   6.17976347e-04   4.70359547e-05
  4.87507751e-04  -6.83296173e-04  -1.50278361e-04   1.22162915e-04	  -1.94875916e-04  -4.53318805e-04   2.69751766e-04  -4.21793033e-05	   1.59433856e-03  -2.87084585e-04
  1.62517247e-02   1.76794466e-03   6.21004445e-03   3.39465216e-03	   1.73968695e-03   9.95000598e-04   2.24277178e-04  -2.48161143e-03	  -5.89409305e-04  -3.54042280e-06
  2.40093277e-03   3.75715577e-03  -1.32539294e-04   5.22707158e-04	   4.58325746e-03  -2.65676116e-03  -7.86162581e-04   1.68637063e-03	   6.17475250e-04   3.85112073e-05
 0.00038492 -0.00058213 -0.00018568  0.00010524 -0.00020825 -0.00042038	  0.00024871 -0.0001379   0.00157616 -0.00029024
  1.63839975e-02   1.65358356e-03   6.24009419e-03   3.43334121e-03	   1.76504896e-03   1.00064193e-03   1.49297140e-04  -2.55411777e-03	  -6.04724684e-04   1.52003189e-05
  2.35967644e-03   3.81700185e-03  -2.12575684e-04   5.05241643e-04	   4.66179512e-03  -2.66643606e-03  -7.48522470e-04   1.75979538e-03	   6.78891182e-04   4.17549634e-05
  1.72263773e-04  -3.42900119e-04  -1.99250989e-04   9.85787486e-05	  -3.13964383e-04  -3.05277875e-04   7.49481742e-05  -4.08500543e-04	   1.52935712e-03  -2.56958961e-04
  1.65406924e-02   1.44695700e-03   6.35138847e-03   3.50432225e-03	   1.84074555e-03   9.75826914e-04   8.39746908e-05  -2.73706130e-03	  -6.38749099e-04  -1.23563592e-05
  2.52989348e-03   4.15678691e-03  -2.21929638e-04   5.61215485e-04	   4.69562634e-03  -2.62008810e-03  -8.88024105e-04   1.47833482e-03	   7.29877823e-04   1.57590050e-05
 0.00018591 -0.0003463  -0.00017598  0.00010154 -0.00027432 -0.00032186	  0.00013019 -0.00037062  0.00154515 -0.00029647
  1.65950760e-02   1.47955926e-03   6.30229060e-03   3.50618511e-03	   1.81645028e-03   1.00979359e-03   7.00715876e-05  -2.70538938e-03	  -5.82253818e-04   3.18098635e-05
  2.42673703e-03   4.07405166e-03  -2.44420098e-04   5.22066264e-04	   4.69886522e-03  -2.61779948e-03  -8.16661793e-04   1.59419372e-03	   7.67181573e-04   1.54320761e-05
  1.25981117e-04  -1.93631957e-04  -1.40615315e-04   1.39607047e-04	  -3.08661753e-04  -2.71937427e-04   5.71143314e-05  -4.80925846e-04	   1.50030544e-03  -3.02558839e-04
  1.67275628e-02   1.41089371e-03   6.37842862e-03   3.54606656e-03	   1.86528476e-03   1.00023993e-03   6.07883183e-05  -2.78178986e-03	  -6.03730416e-04   3.97151855e-06
