10475 3
6.227238476276397705e-02 2.879785597324371338e-01 -1.120748091489076614e-02
6.256127357482910156e-02 2.895973920822143555e-01 -1.091125700622797012e-02
6.318432092666625977e-02 2.888962030410766602e-01 -1.251041516661643982e-02
6.300998479127883911e-02 2.870334386825561523e-01 -1.304131932556629181e-02
8.564861863851547241e-02 3.176780343055725098e-01 -1.708682440221309662e-02
8.750262111425399780e-02 3.175620138645172119e-01 -1.883796416223049164e-02
9.315892308950424194e-02 3.084992170333862305e-01 -2.796603739261627197e-02
9.340845048427581787e-02 3.061466515064239502e-01 -2.882117964327335358e-02
9.098049998283386230e-02 3.135867118835449219e-01 -2.622094564139842987e-02
9.138189256191253662e-02 3.116990327835083008e-01 -2.770133502781391144e-02
7.553229480981826782e-02 2.862882018089294434e-01 -2.411837456747889519e-03
7.652993500232696533e-02 2.864216566085815430e-01 -4.255184438079595566e-03
7.611822336912155151e-02 2.847759723663330078e-01 -4.147872328758239746e-03
9.426632523536682129e-02 3.116969466209411621e-01 -2.811284363269805908e-02
9.436550736427307129e-02 3.138064742088317871e-01 -2.981810271739959717e-02
7.482547312974929810e-02 2.685447931289672852e-01 7.522418163716793060e-04
7.382664084434509277e-02 2.670546174049377441e-01 1.582261524163186550e-03
4.696103185415267944e-02 1.942571550607681274e-01 1.828241720795631409e-02
5.668006464838981628e-02 2.003053575754165649e-01 5.330172367393970490e-03
5.584109574556350708e-02 1.901388466358184814e-01 5.744664464145898819e-03
4.627705365419387817e-02 1.840999424457550049e-01 1.797541417181491852e-02
8.271299302577972412e-02 3.150341510772705078e-01 -8.006601594388484955e-03
8.130258321762084961e-02 3.176657259464263916e-01 -7.782073225826025009e-03
